Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
4.53,5.6,25.5,,4.53,5.3,26.5,,4.53,5.9,26.4,
4.55,5.6,25.5,,4.55,5.3,26.5,,4.55,5.9,26.4,
4.57,5.6,25.5,,4.57,5.3,26.5,,4.57,5.9,26.4,
4.58,5.6,25.5,17.5,4.58,5.3,26.5,,4.58,5.9,26.4,18.0
4.6,5.6,25.5,,4.6,5.3,26.5,,4.6,5.9,26.4,
4.62,5.6,25.5,,4.62,5.3,26.5,,4.62,5.9,26.4,
4.63,5.6,25.5,,4.63,5.3,26.5,,4.63,5.9,26.4,
4.65,5.6,25.5,,4.65,5.3,26.5,,4.65,5.9,26.4,
4.67,5.6,25.5,,4.67,5.3,26.5,14.0,4.67,5.9,26.4,
4.68,5.6,25.5,,4.68,5.3,26.5,,4.68,5.9,26.4,
4.7,5.6,25.5,,4.7,5.3,26.5,,4.7,5.9,26.4,
4.72,5.6,25.5,,4.72,5.3,26.5,,4.72,5.9,26.4,18.5
4.73,5.6,25.5,,4.73,5.3,26.5,,4.73,5.9,26.4,
4.75,5.6,25.5,,4.75,5.3,26.5,,4.75,5.9,26.4,
4.77,5.6,25.5,,4.77,5.3,26.5,,4.77,5.9,26.4,
4.78,5.6,25.5,,4.78,5.3,26.5,,4.78,5.9,26.4,
4.8,5.7,25.5,18.0,4.8,5.3,26.5,14.5,4.8,5.9,26.4,
4.82,5.7,25.5,,4.82,5.3,26.5,,4.82,5.9,26.4,
4.83,5.7,25.5,,4.83,5.3,26.5,,4.83,5.9,26.4,
4.85,5.7,25.5,,4.85,5.4,26.5,,4.85,5.9,26.4,19.0
4.87,5.7,25.5,,4.87,5.4,26.5,,4.87,5.9,26.4,
4.88,5.7,25.5,,4.88,5.4,26.5,,4.88,5.9,26.4,
4.9,5.7,25.5,,4.9,5.4,26.5,15.0,4.9,5.9,26.4,
4.92,5.7,25.5,,4.92,5.4,26.5,,4.92,5.9,26.4,
4.93,5.7,25.5,18.5,4.93,5.4,26.5,,4.93,5.9,26.4,
4.95,5.7,25.5,,4.95,5.4,26.5,,4.95,5.9,26.4,
4.97,5.7,25.5,,4.97,5.4,26.5,,4.97,5.9,26.4,19.5
4.98,5.7,25.5,,4.98,5.4,26.5,,4.98,5.9,26.4,
5.0,5.7,25.5,,5.0,5.5,26.5,,5.0,6.0,26.4,
5.02,5.7,25.5,,5.02,5.5,26.5,,5.02,6.0,26.4,
5.03,5.7,25.5,,5.03,5.5,26.5,,5.03,6.0,26.4,
5.05,5.7,25.5,,5.05,5.5,26.6,16.0,5.05,6.0,26.4,
5.07,5.7,25.5,,5.07,5.5,26.6,,5.07,6.1,26.4,
5.08,5.7,25.5,,5.08,5.5,26.5,,5.08,6.1,26.4,
5.1,5.7,25.5,,5.1,5.5,26.6,,5.1,6.1,26.4,20.0
5.12,5.7,25.5,,5.12,5.5,26.6,,5.12,6.1,26.4,
5.13,5.7,25.5,,5.13,5.5,26.6,,5.13,6.1,26.4,
5.15,5.7,25.5,,5.15,5.5,26.5,,5.15,6.2,26.4,
5.17,5.8,25.5,,5.17,5.5,26.6,16.5,5.17,6.2,26.4,20.2
5.18,5.8,25.5,,5.18,5.5,26.6,,5.18,6.3,26.4,
5.2,5.8,25.5,19.0,5.2,5.5,26.6,,5.2,6.3,26.4,
5.22,5.8,25.5,,5.22,5.5,26.6,,5.22,6.3,26.4,
5.23,5.8,25.5,,5.23,5.5,26.6,,5.23,6.4,26.4,
5.25,5.8,25.5,,5.25,5.5,26.6,,5.25,6.4,26.4,20.5
5.27,5.8,25.5,,5.27,5.5,26.6,,5.27,6.5,26.4,
5.28,5.8,25.5,,5.28,5.5,26.6,,5.28,6.6,26.4,
5.3,5.8,25.5,19.5,5.3,5.5,26.6,,5.3,6.7,26.4,
5.32,5.8,25.5,,5.32,5.6,26.6,,5.32,6.7,26.4,
5.33,5.9,25.5,,5.33,5.6,26.6,,5.33,6.8,26.4,20.7
5.35,5.9,25.5,,5.35,5.6,26.6,,5.35,6.9,26.4,
5.37,5.9,25.5,,5.37,5.6,26.6,,5.37,6.9,26.4,
