Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
2.32,4.7,25.7,,2.32,25.7,4.7,,2.32,25.7,4.7,
2.33,4.7,25.7,,2.33,25.7,4.7,,2.33,25.7,4.7,
2.35,4.7,25.7,,2.35,25.7,4.7,,2.35,25.7,4.7,
2.37,4.7,25.7,,2.37,25.7,4.7,,2.37,25.7,4.7,
2.38,4.7,25.7,7.0,2.38,25.7,4.7,6.5,2.38,25.7,4.7,6.5
2.4,4.7,25.7,,2.4,25.7,4.7,,2.4,25.7,4.7,
2.42,4.7,25.7,,2.42,25.7,4.7,,2.42,25.7,4.7,
2.43,4.7,25.7,,2.43,25.7,4.7,,2.43,25.7,4.7,
2.45,4.7,25.7,,2.45,25.7,4.7,,2.45,25.7,4.7,
2.47,4.7,25.7,,2.47,25.7,4.7,,2.47,25.7,4.7,
2.48,4.8,25.7,,2.48,25.7,4.7,,2.48,25.7,4.7,
2.5,4.8,25.7,7.5,2.5,25.7,4.7,,2.5,25.7,4.7,
2.52,4.8,25.7,,2.52,25.7,4.7,,2.52,25.7,4.7,
2.53,4.8,25.7,,2.53,25.7,4.7,,2.53,25.7,4.7,
2.55,4.8,25.7,,2.55,25.7,4.7,,2.55,25.7,4.7,
2.57,4.8,25.7,,2.57,25.7,4.7,,2.57,25.7,4.7,
2.58,4.8,25.7,,2.58,25.7,4.7,7.0,2.58,25.7,4.7,7.0
2.6,4.8,25.7,,2.6,25.7,4.8,,2.6,25.7,4.8,
2.62,4.8,25.7,,2.62,25.7,4.8,,2.62,25.7,4.8,
2.63,4.8,25.7,,2.63,25.7,4.8,,2.63,25.7,4.8,
2.65,4.8,25.7,8.0,2.65,25.7,4.8,,2.65,25.7,4.8,
2.67,4.8,25.7,,2.67,25.7,4.8,,2.67,25.7,4.8,
2.68,4.8,25.7,,2.68,25.7,4.8,,2.68,25.7,4.8,
2.7,4.8,25.7,,2.7,25.7,4.8,,2.7,25.7,4.8,
2.72,4.8,25.7,,2.72,25.7,4.8,,2.72,25.7,4.8,
2.73,4.8,25.7,,2.73,25.7,4.8,,2.73,25.7,4.8,
2.75,4.8,25.7,,2.75,25.7,4.8,,2.75,25.7,4.8,
2.77,4.8,25.7,,2.77,25.7,4.8,7.5,2.77,25.7,4.8,7.5
2.78,4.8,25.7,,2.78,25.7,4.8,,2.78,25.7,4.8,
2.8,4.9,25.7,,2.8,25.7,4.8,,2.8,25.7,4.8,
2.82,4.9,25.7,,2.82,25.7,4.8,,2.82,25.7,4.8,
2.83,4.9,25.7,,2.83,25.7,4.8,,2.83,25.7,4.8,
2.85,4.9,25.7,,2.85,25.7,4.8,,2.85,25.7,4.8,
2.87,4.9,25.7,,2.87,25.7,4.8,,2.87,25.7,4.8,
2.88,4.9,25.7,,2.88,25.7,4.8,,2.88,25.7,4.8,
2.9,4.9,25.7,,2.9,25.7,4.8,,2.9,25.7,4.8,
2.92,4.9,25.7,,2.92,25.7,4.8,,2.92,25.7,4.8,
2.93,4.9,25.7,,2.93,25.7,4.8,,2.93,25.7,4.8,
2.95,4.9,25.7,,2.95,25.7,4.8,,2.95,25.7,4.8,
2.97,4.9,25.7,,2.97,25.7,4.8,,2.97,25.7,4.8,
2.98,4.9,25.7,,2.98,25.7,4.8,8.0,2.98,25.7,4.9,8.0
3.0,4.9,25.7,,3.0,25.7,4.8,,3.0,25.7,4.9,
3.02,4.9,25.7,,3.02,25.7,4.9,,3.02,25.7,4.9,
3.03,4.9,25.7,,3.03,25.7,4.9,,3.03,25.7,4.9,
3.05,4.9,25.7,,3.05,25.7,4.9,,3.05,25.7,4.9,
3.07,4.9,25.7,,3.07,25.7,4.9,,3.07,25.7,4.9,
3.08,4.9,25.7,,3.08,25.7,4.9,,3.08,25.7,4.9,
3.1,4.9,25.7,,3.1,25.7,4.9,,3.1,25.7,4.9,
3.12,4.9,25.7,,3.12,25.7,4.9,,3.12,25.7,4.9,
